Altium Designer Pick and Place Locations
C:\Users\Satyam.DESKTOP-S570OAU\OneDrive - Vylt Technologies Private Limited\Altium_Designs\BIN_DETECTOR\Project Outputs for RFID_Reader_Writer\Pick Place\Sensor\Sensor.csv

========================================================================================================================
File Design Information:

Date:       12-08-24
Time:       18:06
Revision:   Not in VersionControl
Variant:    Sensor
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"U1","TopLayer","17.4700mm","84.2500mm","180"
"R32","TopLayer","78.5000mm","35.7500mm","270"
"R31","TopLayer","76.5000mm","35.7500mm","270"
"J9","TopLayer","88.0000mm","40.0000mm","90"
"C44","TopLayer","38.2500mm","61.2500mm","0"
"C43","TopLayer","47.5125mm","93.3000mm","90"
"C42","TopLayer","44.8944mm","92.4440mm","0"
"C41","TopLayer","42.3000mm","93.3000mm","270"
"C40","TopLayer","45.0000mm","95.9000mm","0"
"C38","TopLayer","51.5983mm","93.3000mm","270"
"PTC1","TopLayer","37.7500mm","41.5000mm","270"
"ANT1","TopLayer","60.1730mm","93.1896mm","270"
"R30","TopLayer","49.9000mm","86.0000mm","0"
"R29","TopLayer","49.8785mm","93.3624mm","90"
"C32","TopLayer","15.2098mm","90.8500mm","90"
"C39","TopLayer","53.2009mm","93.3000mm","270"
"C37","TopLayer","45.0120mm","94.1658mm","0"
"C36","TopLayer","54.9000mm","93.3000mm","270"
"R28","TopLayer","41.9000mm","88.5000mm","270"
"C35","TopLayer","43.7000mm","49.6000mm","270"
"C33","TopLayer","42.1000mm","49.6000mm","270"
"R27","TopLayer","39.1484mm","54.7180mm","0"
"U5","TopLayer","42.5016mm","11.7733mm","180"
"R26","TopLayer","38.0000mm","23.5000mm","0"
"R25","TopLayer","41.8016mm","15.7404mm","90"
"C27","TopLayer","42.6500mm","8.6579mm","180"
"C6","TopLayer","42.6500mm","18.2500mm","180"
"U4","TopLayer","39.0000mm","50.0000mm","180"
"U2","TopLayer","38.0000mm","32.0000mm","0"
"R24","TopLayer","35.4942mm","50.0000mm","90"
"R23","TopLayer","43.3000mm","27.8015mm","0"
"R22","TopLayer","43.3159mm","25.8421mm","0"
"Q5","TopLayer","38.1590mm","25.9090mm","180"
"J2","TopLayer","43.0694mm","75.7516mm","90"
"SW3","TopLayer","55.0000mm","4.0000mm","0"
"C4","TopLayer","60.1654mm","19.9619mm","270"
"R7","TopLayer","9.6475mm","35.4427mm","90"
"Q4","TopLayer","8.2500mm","9.5000mm","90"
"Q3","TopLayer","8.2500mm","16.0000mm","90"
"SW2","TopLayer","5.2690mm","33.0000mm","270"
"SW1","TopLayer","5.2690mm","43.0000mm","270"
"M1","TopLayer","22.0000mm","24.0000mm","90"
"R21","TopLayer","16.9191mm","90.9200mm","270"
"R20","TopLayer","14.5800mm","75.3300mm","90"
"R19","TopLayer","12.8800mm","75.3300mm","90"
"R18","TopLayer","11.1691mm","77.7500mm","180"
"R17","TopLayer","11.1691mm","79.4500mm","180"
"R16","TopLayer","11.1691mm","80.9500mm","180"
"R15","TopLayer","11.1691mm","82.4500mm","180"
"R14","TopLayer","11.1691mm","83.9500mm","180"
"R13","TopLayer","11.1691mm","85.4500mm","180"
"R12","TopLayer","11.1691mm","86.9500mm","180"
"R11","TopLayer","11.1691mm","88.4500mm","180"
"C34","TopLayer","25.4691mm","77.7500mm","0"
"C31","TopLayer","13.6691mm","90.8500mm","90"
"J7","TopLayer","15.5000mm","7.3000mm","0"
"M2","BottomLayer","26.4502mm","15.2714mm","0"
"X1","TopLayer","18.7000mm","78.6870mm","180"
"U3","TopLayer","68.0384mm","20.6079mm","0"
"R10","TopLayer","13.5852mm","35.4427mm","270"
"R9","TopLayer","4.3000mm","25.7500mm","0"
"R8","TopLayer","4.3000mm","19.2500mm","0"
"R6","TopLayer","28.5000mm","8.5000mm","270"
"R5","TopLayer","22.5000mm","8.5000mm","270"
"R4","TopLayer","12.0000mm","43.7500mm","270"
"R3","TopLayer","41.9000mm","82.3175mm","90"
"R2","TopLayer","4.3000mm","12.7500mm","0"
"R1","TopLayer","16.2800mm","75.3300mm","90"
"Q2","TopLayer","25.5000mm","8.6500mm","270"
"Q1","TopLayer","31.5000mm","8.6500mm","270"
"L2","TopLayer","33.6532mm","85.4000mm","0"
"L1","TopLayer","26.6937mm","85.6505mm","90"
"J6","TopLayer","88.0000mm","23.0000mm","90"
"J5","BottomLayer","9.3789mm","5.6695mm","180"
"J4","TopLayer","26.1900mm","5.0000mm","0"
"J1","TopLayer","30.7000mm","73.4000mm","180"
"D4","TopLayer","3.5000mm","22.5000mm","90"
"D3","TopLayer","3.5000mm","9.5000mm","90"
"D2","TopLayer","3.5000mm","16.0000mm","90"
"D1","TopLayer","55.0000mm","9.5380mm","180"
"C30","TopLayer","75.7444mm","20.8079mm","90"
"C29","TopLayer","10.0000mm","43.7500mm","270"
"C28","TopLayer","22.1000mm","75.4000mm","270"
"C26","TopLayer","38.9918mm","88.5213mm","180"
"C25","TopLayer","29.9600mm","88.5213mm","180"
"C24","TopLayer","38.2964mm","84.5000mm","90"
"C23","TopLayer","36.6630mm","84.5016mm","90"
"C22","TopLayer","36.6630mm","87.6452mm","270"
"C21","TopLayer","30.7055mm","84.5016mm","90"
"C20","TopLayer","29.1100mm","86.2000mm","270"
"C19","TopLayer","23.5100mm","86.0000mm","0"
"C18","TopLayer","23.5100mm","84.5000mm","0"
"C17","TopLayer","33.6532mm","87.8229mm","180"
"C16","TopLayer","11.6433mm","35.4000mm","270"
"C15","TopLayer","18.0000mm","12.9984mm","0"
